 ,individual,year,Salmon.med
1082,11170,2014,0.805
1090,27711,2014,0.809
1097,11243,2014,0.792
1098,14483,2014,0.822
1100,197067,2014,0.96
1103,12353,2014,0.761
1106,197310,2014,0.902
1108,14018,2014,0.958
1111,29991,2014,0.444
1118,197199,2014,0.818
1121,27845,2014,0.458
1123,197195,2014,0.856
1124,12323,2014,0.47
1129,10992,2012,0.894
1140,10822,2012,0.792
1159,10665,2012,0.951
1160,10667,2012,0.799
1161,10680,2012,0.785
1162,10846,2012,0.785
1166,10640,2012,0.742
1167,10981,2012,0.842
1169,10663,2012,0.97
1170,10853,2012,0.787
1172,10466,2012,0.832
1192,10786,2012,0.919
1193,10303,2012,0.844
1195,10911,2012,0.881
1211,10567,2012,0.964
1238,23996,2013,0.772
1240,10680,2013,0.824
1245,10466,2013,0.784
1273,149691,2013,0.883
1274,139903,2013,0.886
1275,14994,2013,0.925
1323,25721,2014,0.747
1342,23996,2014,0.761
1348,10466,2014,0.778
1350,10663,2014,0.931
1355,10567,2014,0.936
1365,25852,2014,0.773
1369,10911,2014,0.849
1372,125585,2014,0.766
1373,139903,2014,0.909
1379,28132,2014,0.746
1381,119204,2014,0.744
1407,23036,2014,0.878
1408,24846,2014,0.821
1413,29701,2014,0.588
1451,14642,2014,0.706
1455,28122,2014,0.882
1456,10853,2014,0.868
1473,23534,2014,0.772
1487,22442,2014,0.162
1488,22494,2014,0.726
1540,22896,2014,0.666
1542,11053,2014,0.899
1543,197212,2014,0.823
1544,22919,2014,0.776
1545,22984,2014,0.681
1546,22360,2014,0.646
1562,26823,2014,0.151
1564,26729,2014,0.749
1575,22208,2014,0.865
1598,12480,2014,0.945
1603,22097,2014,0.816
1624,20726,2013,0.773
1625,149554,2013,0.846
1633,197195,2013,0.764
1644,20237,2013,0.891
1650,20061,2013,0.87
1662,20041,2013,0.778
1663,20820,2013,0.696
1664,23311,2013,0.769
1676,20743,2013,0.776
1677,20086,2013,0.35
1678,20213,2013,0.15
1679,20242,2013,0.531
1694,20829,2013,0.355
1696,20887,2013,0.802
1710,197199,2013,0.807
1711,20770,2013,0.501
1715,23234,2013,0.601
1738,20799,2013,0.848
1751,21659,2014,0.791
1752,149554,2014,0.875
1770,20237,2014,0.958
1777,20799,2014,0.857
1782,21231,2014,0.675
1785,21174,2014,0.431
1788,21029,2014,0.794
1790,20041,2014,0.736
1792,21017,2014,0.845
1800,20086,2014,0.908
1802,20933,2014,0.84
1803,23400,2014,0.495
1833,21529,2014,0.792
1843,21609,2014,0.648
1857,20743,2014,0.809
1859,21162,2014,0.882
1876,20887,2014,0.851
1934,197098,2015,0.929
1935,139903,2015,0.89
1945,12480,2015,0.953
1949,27978,2015,0.934
1954,119445,2015,0.898
1955,26363,2015,0.661
1966,197159,2015,0.82
1981,12102,2015,0.781
1985,37517,2015,0.849
1992,37483,2015,0.923
1994,14018,2015,0.819
1997,37669,2015,0.639
2000,37497,2015,0.689
2011,197067,2015,0.956
2012,149691,2015,0.956
2034,26901,2015,0.812
2066,12393,2015,0.64
2067,197223,2015,0.793
2070,37331,2015,0.792
2071,37349,2015,0.255
2077,197310,2015,0.9
2081,197171,2015,0.818
2084,13580,2015,0.493
2085,14247,2015,0.741
2118,11059,2015,0.909
2119,119204,2015,0.927
2152,11531,2015,0.921
2155,11243,2015,0.81
2165,12536,2015,0.777
2170,13290,2015,0.855
2172,27836,2015,0.614
2181,12353,2015,0.843
2184,12661,2015,0.648
2189,23996,2015,0.905
2231,25850,2015,0.817
2236,125585,2015,0.93
2238,23801,2015,0.896
2240,10567,2015,0.974
2251,10786,2015,0.914
2252,28797,2015,0.797
2260,10303,2015,0.877
2266,37121,2015,0.87
2295,10466,2015,0.806
2296,10663,2015,0.932
2330,34599,2015,0.884
2347,21609,2015,0.433
2375,34744,2015,0.918
2397,36492,2015,0.426
2416,26729,2015,0.207
2420,30748,2015,0.223
2424,11053,2015,0.958
2447,36386,2015,0.603
2454,27187,2015,0.935
2455,34299,2015,0.778
2459,12323,2015,0.54
2462,14483,2015,0.812
2463,197195,2015,0.874
2466,21621,2015,0.851
2470,21972,2015,0.23
2471,21976,2015,0.701
2473,23400,2015,0.857
2477,21926,2015,0.671
2482,21969,2015,0.72
2483,34104,2015,0.118
2484,34320,2015,0.233
2486,29030,2015,0.854
2487,21029,2015,0.62
2488,29122,2015,0.9
2489,34283,2015,0.476
2491,34336,2015,0.725
2494,34394,2015,0.874
2497,196675,2015,0.713
2499,34411,2015,0.692
2504,20061,2015,0.895
2506,21162,2015,0.75
2516,23311,2015,0.783
2523,34399,2015,0.571
2534,197080,2015,0.847
2535,34303,2015,0.769
2536,34483,2015,0.871
2564,27041,2015,0.734
2566,34296,2015,0.688
2577,27162,2015,0.695
2603,20934,2015,0.743
2649,55498,2016,0.74
2705,139903,2016,0.965
2711,197098,2016,0.953
2718,12480,2016,0.966
2751,26363,2016,0.494
2766,12393,2016,0.706
2767,197159,2016,0.944
2770,33798,2016,0.734
2772,197067,2016,0.964
2773,29991,2016,0.734
2774,32154,2016,0.196
2785,44254,2016,0.512
2786,44352,2016,0.48
2792,197212,2016,0.885
2793,197223,2016,0.908
2795,11531,2016,0.932
2796,197080,2016,0.785
2797,32167,2016,0.622
2798,44246,2016,0.94
2801,13580,2016,0.692
2802,37497,2016,0.939
2812,27978,2016,0.747
2841,44248,2016,0.574
2845,35033,2016,0.574
2851,32588,2016,0.311
2854,12536,2016,0.814
2874,27607,2016,0.826
2887,11913,2016,0.915
2888,27836,2016,0.954
2910,26901,2016,0.806
2943,37483,2016,0.736
2951,197175,2016,0.926
2955,44008,2016,0.729
2959,44255,2016,0.827
2971,10663,2016,0.972
2990,23996,2016,0.42
2994,28122,2016,0.941
2995,55175,2016,0.936
2998,10567,2016,0.962
2999,10992,2016,0.97
3000,119418,2016,0.969
3002,23801,2016,0.98
3008,21739,2016,0.675
3012,10466,2016,0.95
3013,28797,2016,0.876
3017,31988,2016,0.926
3019,31781,2016,0.936
3031,149691,2016,0.971
3039,24031,2016,0.887
3046,10303,2016,0.943
3047,10981,2016,0.875
3052,55391,2016,0.814
3053,55427,2016,0.508
3075,31913,2016,0.911
3094,55759,2016,0.834
3116,33266,2016,0.86
3126,12472,2016,0.918
3142,36879,2016,0.956
3191,33050,2016,0.737
3210,33166,2016,0.193
3223,33198,2016,0.145
3230,32327,2016,0.837
3232,149554,2016,0.95
3233,30560,2016,0.887
3236,21430,2016,0.546
3242,32644,2016,0.772
3252,14018,2016,0.889
3271,197195,2016,0.954
3274,29122,2016,0.77
3275,32633,2016,0.839
3279,21621,2016,0.818
3289,30493,2016,0.545
3294,29003,2016,0.529
3297,35350,2016,0.921
3299,20933,2016,0.741
3304,34104,2016,0.675
3305,35339,2016,0.84
3310,32782,2016,0.688
3311,23234,2016,0.897
3312,34283,2016,0.508
3316,30721,2016,0.755
3320,55590,2016,0.709
3322,30693,2016,0.502
3323,21609,2016,0.802
3324,34399,2016,0.877
3332,21926,2016,0.474
3336,23285,2016,0.843
3338,27160,2016,0.395
3339,30681,2016,0.665
3342,20743,2016,0.899
3343,30665,2016,0.816
3357,12480,2017,0.886
3358,197098,2017,0.818
3360,125585,2017,0.852
3368,27978,2017,0.517
3379,119418,2017,0.939
3382,26901,2017,0.796
3406,12102,2017,0.839
3407,12237,2017,0.82
3422,197159,2017,0.874
3426,197067,2017,0.922
3429,14018,2017,0.865
3430,29991,2017,0.451
3434,196675,2017,0.801
3471,139903,2017,0.911
3472,149691,2017,0.87
3498,56190,2017,0.961
3502,11531,2017,0.922
3503,197080,2017,0.786
3510,12536,2017,0.914
3511,32633,2017,0.687
3563,11981,2017,0.393
3564,59849,2017,0.776
3597,30665,2017,0.795
3598,34483,2017,0.842
3599,59543,2017,0.545
3600,37331,2017,0.684
3608,24031,2017,0.86
3609,10786,2017,0.525
3613,119421,2017,0.878
3617,28797,2017,0.833
3622,10567,2017,0.96
3635,10680,2017,0.85
3636,23996,2017,0.809
3639,10981,2017,0.868
3642,25777,2017,0.911
3645,54092,2017,0.895
3665,21739,2017,0.795
3671,23860,2017,0.644
3672,34364,2017,0.466
3673,55299,2017,0.803
3674,10663,2017,0.937
3687,10303,2017,0.823
3688,23801,2017,0.968
3708,55427,2017,0.851
3729,31988,2017,0.81
3747,41871,2017,0.858
3748,34744,2017,0.89
3763,36392,2017,0.746
3764,33231,2017,0.676
3771,41929,2017,0.697
3797,36879,2017,0.115
3832,41586,2017,0.168
3858,12472,2017,0.706
3859,22984,2017,0.826
3880,149554,2017,0.908
3882,42397,2017,0.724
3886,42393,2017,0.891
3893,30239,2017,0.749
3895,34394,2017,0.814
3896,42420,2017,0.763
3900,21017,2017,0.66
3915,34411,2017,0.798
3920,27607,2017,0.787
3931,42314,2017,0.756
3945,21926,2017,0.676
3948,34104,2017,0.684
3953,29003,2017,0.791
3957,30721,2017,0.467
3959,20242,2017,0.766
3962,30185,2017,0.967
3974,35350,2017,0.872
3976,27160,2017,0.625
3977,30681,2017,0.869
3978,29122,2017,0.885
3979,30070,2017,0.769
3981,20933,2017,0.72
4180,27978,2018,0.648
4182,197098,2018,0.845
4192,11913,2018,0.819
4216,11981,2018,0.664
4219,55993,2018,0.727
4228,139903,2018,0.887
4240,119204,2018,0.681
4242,12102,2018,0.896
4243,12393,2018,0.838
4245,197067,2018,0.921
4246,37331,2018,0.714
4248,197159,2018,0.793
4249,49106,2018,0.414
4256,12536,2018,0.797
4259,197171,2018,0.645
4260,49272,2018,0.861
4262,49199,2018,0.54
4290,149691,2018,0.894
4324,59849,2018,0.67
4327,32633,2018,0.785
4335,11243,2018,0.843
4353,56595,2018,0.227
4391,20242,2018,0.736
4392,58284,2018,0.899
4414,36392,2018,0.671
4424,50614,2018,0.77
4437,58051,2018,0.209
4438,33198,2018,0.899
4454,50311,2018,0.64
4467,41871,2018,0.799
4470,22984,2018,0.449
4488,197080,2018,0.732
4489,30560,2018,0.67
4491,50036,2018,0.641
4496,54425,2018,0.897
4512,20933,2018,0.765
4526,37517,2018,0.654
4527,54937,2018,0.395
4530,54857,2018,0.807
4533,54846,2018,0.424
4534,54923,2018,0.318
4540,54832,2018,0.734
4542,197175,2018,0.825
4545,56190,2018,0.942
4548,52218,2018,0.217
4549,54766,2018,0.63
4564,20743,2018,0.805
4574,52237,2018,0.868
4575,52283,2018,0.473
4576,54845,2018,0.455
4581,54788,2018,0.535
4588,54801,2018,0.602
4594,21739,2019,0.946
4595,139903,2019,0.918
4607,197098,2019,0.901
4609,35648,2019,0.455
4611,27978,2019,0.714
4652,37331,2019,0.589
4657,32633,2019,0.762
4658,27845,2019,0.442
4663,40273,2019,0.363
4668,197159,2019,0.862
4669,12102,2019,0.848
4670,30665,2019,0.622
4717,19202,2019,0.442
4738,59849,2019,0.417
4747,35033,2019,0.395
4749,12536,2019,0.958
4801,41871,2019,0.893
4806,22896,2019,0.867
4807,22919,2019,0.839
4876,58284,2019,0.889
4888,44248,2019,0.273
4889,22360,2019,0.52
4906,11531,2019,0.821
4907,49106,2019,0.911
4908,44246,2019,0.713
4909,50036,2019,0.067
4910,17901,2019,0.352
4913,197080,2019,0.553
4916,197175,2019,0.756
4922,42420,2019,0.691
4923,30239,2019,0.662
4924,34394,2019,0.723
4930,17886,2019,0.592
4932,17015,2019,0.232
4937,43094,2019,0.516
4945,19281,2019,0.588
4946,19283,2019,0.561
4952,43188,2019,0.136
4969,52483,2019,0.441
4971,20933,2019,0.762
4978,43171,2019,0.743
4982,30721,2019,0.49
4983,49458,2019,0.821
4984,14018,2019,0.833
4993,20242,2019,0.758
4995,54846,2019,0.345
4996,54923,2019,0.351
5001,29122,2019,0.791
5003,151,2019,0.548
5008,54801,2019,0.632
5010,20887,2019,0.746
