,project,site_id,revisitid,individual,revisit,revisit_date,num_individuals,year,utme,utmn,site_number,season,utm_zone,site_type
33,ht,200918,1802,NA,2,05/31/2009,0,2009,565458,5820925,18,spring,9,baited
34,ht,200919,1901,NA,1,05/21/2009,0,2009,573007,5823431,19,spring,9,baited
35,ht,200919,1902,NA,2,06/01/2009,0,2009,573007,5823431,19,spring,9,baited
36,ht,200920,2001,NA,1,05/19/2009,0,2009,577384,5821291,20,spring,9,baited
37,ht,200920,2002,NA,2,06/01/2009,0,2009,577384,5821291,20,spring,9,baited
38,ht,200921,2101,NA,1,05/19/2009,0,2009,583154,5821051,21,spring,9,baited
39,ht,200921,2102,NA,2,06/01/2009,0,2009,583154,5821051,21,spring,9,baited
40,ht,200922,2201,NA,1,05/19/2009,0,2009,588175,5822862,22,spring,9,baited
41,ht,200922,2202,119204,2,05/31/2009,1,2009,588175,5822862,22,spring,9,baited
42,ht,200926,2601,NA,1,05/21/2009,0,2009,566561,5816793,26,spring,9,baited
43,ht,200926,2602,NA,2,05/31/2009,0,2009,566561,5816793,26,spring,9,baited
44,ht,200927,2701,NA,1,05/20/2009,0,2009,575193,5817368,27,spring,9,baited
45,ht,200927,2702,NA,2,05/30/2009,0,2009,575193,5817368,27,spring,9,baited
46,ht,200928,2801,NA,1,05/20/2009,0,2009,578783,5818729,28,spring,9,baited
47,ht,200928,2802,NA,2,05/30/2009,0,2009,578783,5818729,28,spring,9,baited
48,ht,200929,2901,125585,1,05/19/2009,1,2009,580819,5815518,29,spring,9,baited
49,ht,200929,2902,NA,2,05/30/2009,0,2009,580819,5815518,29,spring,9,baited
50,ht,200930,3001,NA,1,05/19/2009,0,2009,585273,5815063,30,spring,9,baited
51,ht,200930,3002,NA,2,05/30/2009,0,2009,585273,5815063,30,spring,9,baited
52,ht,200931,3101,NA,1,05/20/2009,0,2009,592152,5815920,31,spring,9,baited
53,ht,200931,3102,119204,2,05/31/2009,1,2009,592152,5815920,31,spring,9,baited
54,ht,200933,3301,NA,1,05/21/2009,0,2009,564139,5812667,33,spring,9,baited
55,ht,200933,3302,NA,2,05/31/2009,0,2009,564139,5812667,33,spring,9,baited
56,ht,200934,3401,NA,1,05/21/2009,0,2009,565512,5813839,34,spring,9,baited
57,ht,200934,3402,NA,2,05/31/2009,0,2009,565512,5813839,34,spring,9,baited
58,ht,200935,3501,139903,1,05/20/2009,1,2009,572124,5813397,35,spring,9,baited
59,ht,200935,3502,NA,2,05/31/2009,0,2009,572124,5813397,35,spring,9,baited
60,ht,200936,3601,NA,1,05/20/2009,0,2009,578417,5815506,36,spring,9,baited
61,ht,200936,3602,NA,2,05/30/2009,0,2009,578417,5815506,36,spring,9,baited
62,ht,200937,3701,125585,1,05/19/2009,1,2009,582888,5811843,37,spring,9,baited
63,ht,200937,3702,NA,2,05/20/2009,0,2009,582888,5811843,37,spring,9,baited
64,ht,200938,3801,NA,1,05/19/2009,0,2009,586376,5813410,38,spring,9,baited
65,ht,200938,3802,NA,2,05/30/2009,0,2009,586376,5813410,38,spring,9,baited
66,ht,200939,3901,NA,1,05/20/2009,0,2009,591903,5814886,39,spring,9,baited
67,ht,200939,3902,NA,2,05/31/2009,0,2009,591903,5814886,39,spring,9,baited
68,ht,200942,4201,NA,1,05/22/2009,0,2009,562800,5806627,42,spring,9,baited
69,ht,200942,4202,NA,2,06/01/2009,0,2009,562800,5806627,42,spring,9,baited
70,ht,200943,4301,NA,1,05/22/2009,0,2009,569066,5806242,43,spring,9,baited
71,ht,200943,4302,NA,2,06/01/2009,0,2009,569066,5806242,43,spring,9,baited
72,ht,200944,4401,NA,1,05/20/2009,0,2009,573253,5807348,44,spring,9,baited
73,ht,200944,4402,NA,2,05/31/2009,0,2009,573253,5807348,44,spring,9,baited
74,ht,200945,4501,NA,1,05/20/2009,0,2009,576072,5808375,45,spring,9,baited
75,ht,200945,4502,NA,2,05/31/2009,0,2009,576072,5808375,45,spring,9,baited
76,ht,200946,4601,NA,1,05/18/2009,0,2009,580606,5808551,46,spring,9,baited
77,ht,200946,4602,NA,2,05/31/2009,0,2009,580606,5808551,46,spring,9,baited
78,ht,200947,4701,NA,1,05/18/2009,0,2009,586451,5806827,47,spring,9,baited
79,ht,200947,4702,NA,2,05/31/2009,0,2009,586451,5806827,47,spring,9,baited
80,ht,200948,4801,NA,1,05/19/2009,0,2009,592595,5804656,48,spring,9,baited
81,ht,200948,4802,NA,2,05/31/2009,0,2009,592595,5804656,48,spring,9,baited
82,ht,200949,4901,NA,1,05/20/2009,0,2009,599201,5806379,49,spring,9,baited
83,ht,200949,4902,NA,2,05/30/2009,0,2009,599201,5806379,49,spring,9,baited
84,ht,200951,5101,NA,1,05/22/2009,0,2009,557590,5802018,51,spring,9,baited
85,ht,200951,5102,NA,2,06/01/2009,0,2009,557590,5802018,51,spring,9,baited
86,ht,200952,5201,NA,1,05/21/2009,0,2009,563481,5802166,52,spring,9,baited
87,ht,200952,5202,NA,2,06/01/2009,0,2009,563481,5802166,52,spring,9,baited
88,ht,200953,5301,NA,1,05/18/2009,0,2009,567965,5801488,53,spring,9,baited
89,ht,200953,5302,NA,2,05/29/2009,0,2009,567965,5801488,53,spring,9,baited
90,ht,200954,5401,NA,1,05/22/2009,0,2009,571895,5801353,54,spring,9,baited
91,ht,200954,5402,NA,2,05/31/2009,0,2009,571895,5801353,54,spring,9,baited
92,ht,200955,5501,NA,1,05/22/2009,0,2009,577865,5804910,55,spring,9,baited
93,ht,200955,5502,NA,2,05/31/2009,0,2009,577865,5804910,55,spring,9,baited
94,ht,200956,5601,NA,1,05/18/2009,0,2009,583656,5802555,56,spring,9,baited
95,ht,200956,5602,NA,2,05/31/2009,0,2009,583656,5802555,56,spring,9,baited
96,ht,200957,5701,NA,1,05/20/2009,0,2009,585531,5800757,57,spring,9,baited
97,ht,200957,5702,NA,2,05/30/2009,0,2009,585531,5800757,57,spring,9,baited
98,ht,200958,5801,NA,1,05/19/2009,0,2009,593738,5802121,58,spring,9,baited
99,ht,200958,5802,NA,2,05/31/2009,0,2009,593738,5802121,58,spring,9,baited
100,ht,200959,5901,NA,1,05/18/2009,0,2009,597471,5802383,59,spring,9,baited
101,ht,200959,5902,NA,2,05/31/2009,0,2009,597471,5802383,59,spring,9,baited
102,ht,200960,6001,NA,1,05/20/2009,0,2009,601582,5804704,60,spring,9,baited
103,ht,200960,6002,NA,2,05/30/2009,0,2009,601582,5804704,60,spring,9,baited
104,ht,200961,6101,NA,1,05/22/2009,0,2009,556747,5795480,61,spring,9,baited
105,ht,200961,6102,NA,2,06/01/2009,0,2009,556747,5795480,61,spring,9,baited
106,ht,200962,6201,NA,1,05/22/2009,0,2009,561375,5795182,62,spring,9,baited
107,ht,200962,6202,NA,2,06/01/2009,0,2009,561375,5795182,62,spring,9,baited
108,ht,200963,6301,NA,1,05/18/2009,0,2009,565700,5798320,63,spring,9,baited
109,ht,200963,6302,NA,2,05/29/2009,0,2009,565700,5798320,63,spring,9,baited
110,ht,200964,6401,NA,1,05/18/2009,0,2009,570311,5796723,64,spring,9,baited
111,ht,200964,6402,NA,2,05/29/2009,0,2009,570311,5796723,64,spring,9,baited
112,ht,200965,6501,NA,1,05/22/2009,0,2009,578534,5800625,65,spring,9,baited
113,ht,200965,6502,NA,2,05/31/2009,0,2009,578534,5800625,65,spring,9,baited
114,ht,200966,6601,NA,1,05/20/2009,0,2009,584865,5797397,66,spring,9,baited
115,ht,200966,6602,NA,2,05/30/2009,0,2009,584865,5797397,66,spring,9,baited
116,ht,200967,6701,NA,1,05/20/2009,0,2009,585918,5797831,67,spring,9,baited
117,ht,200967,6702,NA,2,05/30/2009,0,2009,585918,5797831,67,spring,9,baited
118,ht,200968,6801,NA,1,05/20/2009,0,2009,595008,5796494,68,spring,9,baited
119,ht,200968,6802,NA,2,05/30/2009,0,2009,595008,5796494,68,spring,9,baited
120,ht,200969,6901,NA,1,05/20/2009,0,2009,598633,5798582,69,spring,9,baited
121,ht,200969,6902,NA,2,05/30/2009,0,2009,598633,5798582,69,spring,9,baited
122,ht,200970,7001,NA,1,05/18/2009,0,2009,556777,5792502,70,spring,9,baited
123,ht,200970,7002,NA,2,05/29/2009,0,2009,556777,5792502,70,spring,9,baited
124,ht,200971,7101,NA,1,05/18/2009,0,2009,562147,5791182,71,spring,9,baited
125,ht,200971,7102,119495,2,05/29/2009,1,2009,562147,5791182,71,spring,9,baited
126,ht,200972,7201,NA,1,05/18/2009,0,2009,568748,5792841,72,spring,9,baited
127,ht,200972,7202,NA,2,05/28/2009,0,2009,568748,5792841,72,spring,9,baited
128,ht,200973,7301,NA,1,05/18/2009,0,2009,571915,5792744,73,spring,9,baited
129,ht,200973,7302,NA,2,05/29/2009,0,2009,571915,5792744,73,spring,9,baited
130,ht,200974,7401,NA,1,05/20/2009,0,2009,578102,5792484,74,spring,9,baited
131,ht,200974,7402,NA,2,05/31/2009,0,2009,578102,5792484,74,spring,9,baited
132,ht,200975,7501,NA,1,05/20/2009,0,2009,581724,5794161,75,spring,9,baited
133,ht,200975,7502,NA,2,05/31/2009,0,2009,581724,5794161,75,spring,9,baited
134,ht,200976,7601,NA,1,05/20/2009,0,2009,584593,5793721,76,spring,9,baited
135,ht,200976,7602,NA,2,05/30/2009,0,2009,584593,5793721,76,spring,9,baited
136,ht,200977,7701,NA,1,05/17/2009,0,2009,556907,5788107,77,spring,9,baited
137,ht,200977,7702,NA,2,05/28/2009,0,2009,556907,5788107,77,spring,9,baited
138,ht,200978,7801,NA,1,05/17/2009,0,2009,561382,5787145,78,spring,9,baited
139,ht,200978,7802,NA,2,05/28/2009,0,2009,561382,5787145,78,spring,9,baited
140,ht,200979,7901,NA,1,05/17/2009,0,2009,568026,5786018,79,spring,9,baited
141,ht,200979,7902,NA,2,05/29/2009,0,2009,568026,5786018,79,spring,9,baited
142,ht,200980,8001,NA,1,05/18/2009,0,2009,574404,5785991,80,spring,9,baited
143,ht,200980,8002,NA,2,05/29/2009,0,2009,574404,5785991,80,spring,9,baited
144,ht,200981,8101,NA,1,05/18/2009,0,2009,578734,5786060,81,spring,9,baited
145,ht,200981,8102,NA,2,05/29/2009,0,2009,578734,5786060,81,spring,9,baited
146,ht,200982,8201,NA,1,05/17/2009,0,2009,552576,5781867,82,spring,9,baited
147,ht,200982,8202,NA,2,05/28/2009,0,2009,552576,5781867,82,spring,9,baited
148,ht,200983,8301,NA,1,05/22/2009,0,2009,558236,5780845,83,spring,9,baited
149,ht,200983,8302,NA,2,05/31/2009,0,2009,558236,5780845,83,spring,9,baited
151,ht,200984,8401,NA,1,05/17/2009,0,2009,561818,5784101,84,spring,9,baited
152,ht,200984,8402,NA,2,05/28/2009,0,2009,561818,5784101,84,spring,9,baited
153,ht,200985,8501,NA,1,05/17/2009,0,2009,567526,5781428,85,spring,9,baited
154,ht,200985,8502,NA,2,05/28/2009,0,2009,567526,5781428,85,spring,9,baited
156,ht,200986,8601,NA,1,05/17/2009,0,2009,574523,5781164,86,spring,9,baited
157,ht,200986,8602,NA,2,05/28/2009,0,2009,574523,5781164,86,spring,9,baited
158,ht,200987,8701,NA,1,05/18/2009,0,2009,576359,5785025,87,spring,9,baited
159,ht,200987,8702,NA,2,05/29/2009,0,2009,576359,5785025,87,spring,9,baited
160,ht,200988,8801,NA,1,05/17/2009,0,2009,550340,5776767,88,spring,9,baited
161,ht,200988,8802,NA,2,05/28/2009,0,2009,550340,5776767,88,spring,9,baited
162,ht,200989,8901,NA,1,05/22/2009,0,2009,558907,5776524,89,spring,9,baited
163,ht,200989,8902,NA,2,05/31/2009,0,2009,558907,5776524,89,spring,9,baited
165,ht,200990,9001,NA,1,05/22/2009,0,2009,563820,5778919,90,spring,9,baited
166,ht,200990,9002,NA,2,05/31/2009,0,2009,563820,5778919,90,spring,9,baited
167,ht,200991,9101,NA,1,05/17/2009,0,2009,567440,5777685,91,spring,9,baited
168,ht,200991,9102,NA,2,05/28/2009,0,2009,567440,5777685,91,spring,9,baited
170,ht,200992,9201,NA,1,05/17/2009,0,2009,574419,5778421,92,spring,9,baited
171,ht,200992,9202,NA,2,05/28/2009,0,2009,574419,5778421,92,spring,9,baited
172,ht,200993,9301,NA,1,05/17/2009,0,2009,551673,5770965,93,spring,9,baited
173,ht,200993,9302,NA,2,05/28/2009,0,2009,551673,5770965,93,spring,9,baited
174,ht,200994,9401,NA,1,05/18/2009,0,2009,559175,5771649,94,spring,9,baited
175,ht,200994,9402,NA,2,05/29/2009,0,2009,559175,5771649,94,spring,9,baited
176,ht,200995,9501,NA,1,05/18/2009,0,2009,560536,5773906,95,spring,9,baited
177,ht,200995,9502,NA,2,05/29/2009,0,2009,560536,5773906,95,spring,9,baited
178,ht,200996,9601,NA,1,05/18/2009,0,2009,566613,5770632,96,spring,9,baited
179,ht,200996,9602,NA,2,05/29/2009,0,2009,566613,5770632,96,spring,9,baited
180,ht,200997,9701,NA,1,05/18/2009,0,2009,570891,5769889,97,spring,9,baited
181,ht,200997,9702,NA,2,05/29/2009,0,2009,570891,5769889,97,spring,9,baited
182,ht,200998,9801,NA,1,05/17/2009,0,2009,551964,5767148,98,spring,9,baited
183,ht,200998,9802,NA,2,05/28/2009,0,2009,551964,5767148,98,spring,9,baited
184,ht,200999,9901,NA,1,05/17/2009,0,2009,555995,5766198,99,spring,9,baited
185,ht,200999,9902,NA,2,05/28/2009,0,2009,555995,5766198,99,spring,9,baited
186,ht,201001,20100101,NA,1,05/21/2010,0,2010,564498,5833995,01,spring,9,baited
187,ht,201001,20100102,NA,2,06/01/2010,0,2010,564498,5833995,01,spring,9,baited
188,ht,201002,20100201,NA,1,05/26/2010,0,2010,571230,5838726,02,spring,9,baited
189,ht,201002,20100202,NA,2,06/06/2010,0,2010,571230,5838726,02,spring,9,baited
190,ht,201003,20100301,NA,1,05/26/2010,0,2010,575997,5835420,03,spring,9,baited
191,ht,201003,20100302,NA,2,06/06/2010,0,2010,575997,5835420,03,spring,9,baited
192,ht,201004,20100401,NA,1,05/21/2010,0,2010,565806,5831006,04,spring,9,baited
193,ht,201004,20100402,NA,2,06/01/2010,0,2010,565806,5831006,04,spring,9,baited
194,ht,201005,20100501,NA,1,05/26/2010,0,2010,571156,5829250,05,spring,9,baited
195,ht,201005,20100502,NA,2,06/06/2010,0,2010,571156,5829250,05,spring,9,baited
196,ht,201006,20100601,NA,1,05/26/2010,0,2010,579163,5827616,06,spring,9,baited
197,ht,201006,20100602,NA,2,06/06/2010,0,2010,579163,5827616,06,spring,9,baited
198,ht,201007,20100701,NA,1,05/26/2010,0,2010,584296,5829526,07,spring,9,baited
199,ht,201007,20100702,NA,2,06/06/2010,0,2010,584296,5829526,07,spring,9,baited
200,ht,201008,20100801,NA,1,05/21/2010,0,2010,565460,5820920,08,spring,9,baited
201,ht,201008,20100802,NA,2,06/01/2010,0,2010,565460,5820920,08,spring,9,baited
202,ht,201009,20100901,NA,1,05/26/2010,0,2010,573008,5823456,09,spring,9,baited
203,ht,201009,20100902,NA,2,06/06/2010,0,2010,573008,5823456,09,spring,9,baited
204,ht,201010,20101001,NA,1,05/21/2010,0,2010,578791,5818721,10,spring,9,baited
205,ht,201010,20101002,134616,2,06/01/2010,1,2010,578791,5818721,10,spring,9,baited
206,ht,201011,20101101,119204,1,05/26/2010,2,2010,588162,5822887,11,spring,9,baited
207,ht,201011,20101101,139903,1,05/26/2010,2,2010,588162,5822887,11,spring,9,baited
208,ht,201011,20101102,NA,2,06/06/2010,0,2010,588162,5822887,11,spring,9,baited
209,ht,201012,20101201,NA,1,05/21/2010,0,2010,566562,5816778,12,spring,9,baited
210,ht,201012,20101202,NA,2,06/01/2010,0,2010,566562,5816778,12,spring,9,baited
211,ht,201013,20101301,NA,1,05/21/2010,0,2010,572119,5813391,13,spring,9,baited
212,ht,201013,20101302,197098,2,06/01/2010,1,2010,572119,5813391,13,spring,9,baited
213,ht,201014,20101401,NA,1,05/21/2010,0,2010,580834,5815535,14,spring,9,baited
214,ht,201014,20101402,NA,2,06/01/2010,0,2010,580834,5815535,14,spring,9,baited
215,ht,201015,20101501,NA,1,05/20/2010,0,2010,585564,5814469,15,spring,9,baited
216,ht,201015,20101502,NA,2,06/01/2010,0,2010,585564,5814469,15,spring,9,baited
217,ht,201016,20101601,NA,1,05/26/2010,0,2010,592133,5815916,16,spring,9,baited
218,ht,201016,20101602,NA,2,06/06/2010,0,2010,592133,5815916,16,spring,9,baited
219,ht,201017,20101701,NA,1,05/21/2010,0,2010,562803,5806631,17,spring,9,baited
220,ht,201017,20101702,NA,2,06/01/2010,0,2010,562803,5806631,17,spring,9,baited
221,ht,201018,20101801,197098,1,05/21/2010,1,2010,573250,5807369,18,spring,9,baited
222,ht,201018,20101802,NA,2,06/01/2010,0,2010,573250,5807369,18,spring,9,baited
223,ht,201019,20101901,NA,1,05/21/2010,0,2010,576075,5808379,19,spring,9,baited
224,ht,201019,20101902,NA,2,06/01/2010,0,2010,576075,5808379,19,spring,9,baited
225,ht,201020,20102001,NA,1,05/21/2010,0,2010,582082,5811729,20,spring,9,baited
226,ht,201020,20102002,NA,2,06/01/2010,0,2010,582082,5811729,20,spring,9,baited
227,ht,201021,20102101,NA,1,05/27/2010,0,2010,592601,5804656,21,spring,9,baited
228,ht,201021,20102102,NA,2,06/06/2010,0,2010,592601,5804656,21,spring,9,baited
229,ht,201022,20102201,119418,1,05/23/2010,3,2010,599558,5805979,22,spring,9,baited
230,ht,201022,20102201,119421,1,05/23/2010,3,2010,599558,5805979,22,spring,9,baited
231,ht,201022,20102201,119445,1,05/23/2010,3,2010,599558,5805979,22,spring,9,baited
232,ht,201022,20102202,119418,2,06/04/2010,3,2010,599558,5805979,22,spring,9,baited
233,ht,201022,20102202,119421,2,06/04/2010,3,2010,599558,5805979,22,spring,9,baited
234,ht,201022,20102202,119445,2,06/04/2010,3,2010,599558,5805979,22,spring,9,baited
235,ht,201023,20102301,NA,1,05/22/2010,0,2010,557598,5802032,23,spring,9,baited
236,ht,201023,20102302,NA,2,06/02/2010,0,2010,557598,5802032,23,spring,9,baited
237,ht,201024,20102401,NA,1,05/21/2010,0,2010,565721,5798316,24,spring,9,baited
238,ht,201024,20102402,NA,2,06/01/2010,0,2010,565721,5798316,24,spring,9,baited
239,ht,201025,20102501,NA,1,05/22/2010,0,2010,571897,5801345,25,spring,9,baited
240,ht,201025,20102502,NA,2,06/02/2010,0,2010,571897,5801345,25,spring,9,baited
241,ht,201026,20102601,NA,1,05/22/2010,0,2010,579191,5799021,26,spring,9,baited
242,ht,201026,20102602,NA,2,06/02/2010,0,2010,579191,5799021,26,spring,9,baited
243,ht,201027,20102701,NA,1,05/23/2010,0,2010,585496,5800754,27,spring,9,baited
244,ht,201027,20102702,NA,2,06/04/2010,0,2010,585496,5800754,27,spring,9,baited
245,ht,201028,20102801,NA,1,05/27/2010,0,2010,593755,5802186,28,spring,9,baited
246,ht,201028,20102802,NA,2,06/06/2010,0,2010,593755,5802186,28,spring,9,baited
247,ht,201029,20102901,NA,1,05/23/2010,0,2010,598701,5798022,29,spring,9,baited
248,ht,201029,20102902,NA,2,06/04/2010,0,2010,598701,5798022,29,spring,9,baited
249,ht,201030,20103001,NA,1,05/23/2010,0,2010,605458,5799078,30,spring,9,baited
250,ht,201030,20103002,NA,2,06/04/2010,0,2010,605458,5799078,30,spring,9,baited
251,ht,201031,20103101,NA,1,05/22/2010,0,2010,556763,5795460,31,spring,9,baited
252,ht,201031,20103102,NA,2,06/02/2010,0,2010,556763,5795460,31,spring,9,baited
253,ht,201032,20103201,NA,1,05/22/2010,0,2010,561648,5791187,32,spring,9,baited
254,ht,201032,20103202,NA,2,06/02/2010,0,2010,561648,5791187,32,spring,9,baited
255,ht,201033,20103301,NA,1,05/22/2010,0,2010,568631,5792648,33,spring,9,baited
256,ht,201033,20103302,NA,2,06/02/2010,0,2010,568631,5792648,33,spring,9,baited
257,ht,201034,20103401,NA,1,05/26/2010,0,2010,576813,5794603,34,spring,9,baited
258,ht,201034,20103402,NA,2,06/06/2010,0,2010,576813,5794603,34,spring,9,baited
259,ht,201035,20103501,NA,1,05/23/2010,0,2010,586008,5797850,35,spring,9,baited
260,ht,201035,20103502,NA,2,06/04/2010,0,2010,586008,5797850,35,spring,9,baited
261,ht,201036,20103601,NA,1,05/23/2010,0,2010,595022,5797138,36,spring,9,baited
262,ht,201036,20103602,NA,2,06/04/2010,0,2010,595022,5797138,36,spring,9,baited
263,ht,201037,20103701,NA,1,05/23/2010,0,2010,602570,5796648,37,spring,9,baited
264,ht,201037,20103702,NA,2,06/04/2010,0,2010,602570,5796648,37,spring,9,baited
265,ht,201038,20103801,NA,1,05/28/2010,0,2010,606250,5793176,38,spring,9,baited
266,ht,201038,20103802,NA,2,06/08/2010,0,2010,606250,5793176,38,spring,9,baited
267,ht,201039,20103901,NA,1,05/22/2010,0,2010,557683,5788746,39,spring,9,baited
268,ht,201039,20103902,NA,2,06/02/2010,0,2010,557683,5788746,39,spring,9,baited
269,ht,201040,20104001,NA,1,05/22/2010,0,2010,561818,5784101,40,spring,9,baited
270,ht,201040,20104002,NA,2,06/02/2010,0,2010,561818,5784101,40,spring,9,baited
271,ht,201041,20104101,NA,1,05/22/2010,0,2010,568025,5786018,41,spring,9,baited
272,ht,201041,20104102,NA,2,06/02/2010,0,2010,568025,5786018,41,spring,9,baited
273,ht,201042,20104201,NA,1,05/24/2010,0,2010,576345,5784944,42,spring,9,baited
274,ht,201042,20104202,NA,2,06/05/2010,0,2010,576345,5784944,42,spring,9,baited
275,ht,201043,20104301,NA,1,05/23/2010,0,2010,584894,5788886,43,spring,9,baited
276,ht,201043,20104302,NA,2,06/04/2010,0,2010,584894,5788886,43,spring,9,baited
277,ht,201044,20104401,NA,1,05/23/2010,0,2010,595064,5788530,44,spring,9,baited
278,ht,201044,20104402,NA,2,06/04/2010,0,2010,595064,5788530,44,spring,9,baited
279,ht,201045,20104501,NA,1,05/23/2010,0,2010,596270,5787756,45,spring,9,baited
280,ht,201045,20104502,NA,2,06/04/2010,0,2010,596270,5787756,45,spring,9,baited
281,ht,201046,20104601,NA,1,05/28/2010,0,2010,604651,5788974,46,spring,9,baited
282,ht,201046,20104602,NA,2,06/08/2010,0,2010,604651,5788974,46,spring,9,baited
283,ht,201047,20104701,NA,1,05/25/2010,0,2010,568263,5777846,47,spring,9,baited
284,ht,201047,20104702,NA,2,06/05/2010,0,2010,568263,5777846,47,spring,9,baited
285,ht,201048,20104801,NA,1,05/20/2010,0,2010,569783,5782052,48,spring,9,baited
286,ht,201048,20104802,NA,2,06/02/2010,0,2010,569783,5782052,48,spring,9,baited
287,ht,201049,20104901,NA,1,05/24/2010,0,2010,578865,5779789,49,spring,9,baited
288,ht,201049,20104902,NA,2,06/05/2010,0,2010,578865,5779789,49,spring,9,baited
289,ht,201050,20105001,NA,1,05/26/2010,0,2010,583024,5781302,50,spring,9,baited
290,ht,201050,20105002,NA,2,06/06/2010,0,2010,583024,5781302,50,spring,9,baited
291,ht,201051,20105101,NA,1,05/28/2010,0,2010,593220,5777568,51,spring,9,baited
292,ht,201051,20105102,NA,2,06/07/2010,0,2010,593220,5777568,51,spring,9,baited
293,ht,201052,20105201,NA,1,05/25/2010,0,2010,560652,5774205,52,spring,9,baited
294,ht,201052,20105202,NA,2,06/05/2010,0,2010,560652,5774205,52,spring,9,baited
295,ht,201053,20105301,NA,1,05/25/2010,0,2010,570892,5769896,53,spring,9,baited
296,ht,201053,20105302,NA,2,06/05/2010,0,2010,570892,5769896,53,spring,9,baited
297,ht,201054,20105401,NA,1,05/24/2010,0,2010,579496,5775443,54,spring,9,baited
298,ht,201054,20105402,NA,2,06/05/2010,0,2010,579496,5775443,54,spring,9,baited
299,ht,201055,20105501,139917,1,05/24/2010,1,2010,585406,5773519,55,spring,9,baited
300,ht,201055,20105502,NA,2,06/05/2010,0,2010,585406,5773519,55,spring,9,baited
301,ht,201059,20105901,NA,1,05/29/2010,0,2010,611762,5773157,59,spring,9,baited
302,ht,201059,20105902,197212,2,06/08/2010,2,2010,611762,5773157,59,spring,9,baited
303,ht,201059,20105902,197223,2,06/08/2010,2,2010,611762,5773157,59,spring,9,baited
304,ht,201060,20106001,NA,1,05/29/2010,0,2010,618722,5770879,60,spring,9,baited
305,ht,201060,20106002,NA,2,06/08/2010,0,2010,618722,5770879,60,spring,9,baited
306,ht,201061,20106101,NA,1,05/25/2010,0,2010,577976,5770379,61,spring,9,baited
307,ht,201061,20106102,NA,2,06/05/2010,0,2010,577976,5770379,61,spring,9,baited
308,ht,201063,20106301,196636,1,05/28/2010,1,2010,595073,5765497,63,spring,9,baited
309,ht,201063,20106302,NA,2,06/07/2010,0,2010,595073,5765497,63,spring,9,baited
310,ht,201064,20106401,NA,1,05/28/2010,0,2010,597864,5762509,64,spring,9,baited
